Sample_ID	Original.SampleID	Study	Host.Species	Host.Genotype	Compartment	Soil	Soil.Batch	Run	Conditions	Date
bourceret_2016_00001	BK62	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	Zero	bourceret_2016_001	NS	09_2016
bourceret_2016_00002	BK63	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	Zero	bourceret_2016_001	NS	09_2016
bourceret_2016_00003	BK64	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	Zero	bourceret_2016_001	NS	09_2016
bourceret_2016_00004	BK65	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00005	BK66	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00010	RH1	Reconstruct_pilot_2016	zea_mays_l	Oh43	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00019	RH10	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00020	RH11	Reconstruct_pilot_2016	zea_mays_l	DK105	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00021	RH12	Reconstruct_pilot_2016	zea_mays_l	Oh43	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00022	RH13	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00023	RH14	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00024	RH15	Reconstruct_pilot_2016	zea_mays_l	UH007	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00025	RH16	Reconstruct_pilot_2016	zea_mays_l	Oh43	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00026	RH17	Reconstruct_pilot_2016	zea_mays_l	DK105	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00027	RH18	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00028	RH19	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00011	RH2	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00029	RH20	Reconstruct_pilot_2016	zea_mays_l	Oh43	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00030	RH21	Reconstruct_pilot_2016	zea_mays_l	DK105	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00031	RH22	Reconstruct_pilot_2016	zea_mays_l	UH007	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00032	RH23	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	Zero	bourceret_2016_001	NS	09_2016
bourceret_2016_00033	RH24	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	Zero	bourceret_2016_001	NS	09_2016
bourceret_2016_00012	RH3	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00013	RH4	Reconstruct_pilot_2016	zea_mays_l	UH007	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00014	RH5	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00015	RH6	Reconstruct_pilot_2016	zea_mays_l	DK105	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00016	RH7	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00017	RH8	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00018	RH9	Reconstruct_pilot_2016	zea_mays_l	UH007	rhizosphere	DEMO	NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00071	RT1	Reconstruct_pilot_2016	zea_mays_l	Oh43	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00080	RT10	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00081	RT11	Reconstruct_pilot_2016	zea_mays_l	DK105	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00082	RT12	Reconstruct_pilot_2016	zea_mays_l	Oh43	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00083	RT13	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00084	RT14	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00085	RT15	Reconstruct_pilot_2016	zea_mays_l	UH007	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00086	RT16	Reconstruct_pilot_2016	zea_mays_l	Oh43	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00087	RT17	Reconstruct_pilot_2016	zea_mays_l	DK105	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00088	RT18	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00089	RT19	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00072	RT2	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00090	RT20	Reconstruct_pilot_2016	zea_mays_l	Oh43	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00091	RT21	Reconstruct_pilot_2016	zea_mays_l	DK105	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00092	RT22	Reconstruct_pilot_2016	zea_mays_l	UH007	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00093	RT23	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	Zero	bourceret_2016_001	NS	09_2016
bourceret_2016_00094	RT24	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	Zero	bourceret_2016_001	NS	09_2016
bourceret_2016_00073	RT3	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00074	RT4	Reconstruct_pilot_2016	zea_mays_l	UH007	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00095	RT49	Reconstruct_pilot_2016	zea_mays_l	UH007	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00075	RT5	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00096	RT50	Reconstruct_pilot_2016	zea_mays_l	B73.K	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00097	RT51	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00098	RT52	Reconstruct_pilot_2016	zea_mays_l	F353	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00099	RT53	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00100	RT54	Reconstruct_pilot_2016	zea_mays_l	EP1	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00101	RT55	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00102	RT56	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00103	RT57	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00104	RT58	Reconstruct_pilot_2016	zea_mays_l	DK105	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00105	RT59	Reconstruct_pilot_2016	zea_mays_l	UH007	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00076	RT6	Reconstruct_pilot_2016	zea_mays_l	DK105	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00106	RT60	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00107	RT61	Reconstruct_pilot_2016	zea_mays_l	B73.K	root	DEMO	NPK	bourceret_2016_001	NS	09_2016
bourceret_2016_00077	RT7	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00078	RT8	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00079	RT9	Reconstruct_pilot_2016	zea_mays_l	UH007	root	DEMO	DEMO_NK	bourceret_2016_001	NS	09_2016
bourceret_2016_00006	BK67	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_002	NS	09_2016
bourceret_2016_00007	BK68	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00008	BK69	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00009	BK70	Reconstruct_pilot_2016	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00036	RH25	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00037	RH26	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00038	RH27	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00039	RH28	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00040	RH29	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00041	RH30	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00042	RH31	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00043	RH32	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00044	RH33	Reconstruct_pilot_2016	zea_mays_l	B73.K	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00045	RH34	Reconstruct_pilot_2016	zea_mays_l	DK105	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00046	RH35	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00047	RH36	Reconstruct_pilot_2016	zea_mays_l	EP1	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00048	RH37	Reconstruct_pilot_2016	zea_mays_l	F353	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00049	RH38	Reconstruct_pilot_2016	zea_mays_l	UH007	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00050	RH39	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00051	RH40	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00052	RH41	Reconstruct_pilot_2016	zea_mays_l	EP1	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00053	RH42	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00054	RH43	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00055	RH44	Reconstruct_pilot_2016	zea_mays_l	F353	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00056	RH45	Reconstruct_pilot_2016	zea_mays_l	UH007	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00057	RH46	Reconstruct_pilot_2016	zea_mays_l	B73.K	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00058	RH47	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00059	RH48	Reconstruct_pilot_2016	zea_mays_l	DK105	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00060	RH49	Reconstruct_pilot_2016	zea_mays_l	UH007	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00061	RH50	Reconstruct_pilot_2016	zea_mays_l	B73.K	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00062	RH51	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00063	RH52	Reconstruct_pilot_2016	zea_mays_l	F353	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00064	RH53	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00065	RH54	Reconstruct_pilot_2016	zea_mays_l	EP1	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00066	RH55	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00067	RH56	Reconstruct_pilot_2016	zea_mays_l	B73.M	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00068	RH57	Reconstruct_pilot_2016	zea_mays_l	F2	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00069	RH58	Reconstruct_pilot_2016	zea_mays_l	DK105	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00070	RH59	Reconstruct_pilot_2016	zea_mays_l	UH007	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00034	RH60	Reconstruct_pilot_2016	zea_mays_l	PH207	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00035	RH61	Reconstruct_pilot_2016	zea_mays_l	B73.K	rhizosphere	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00108	RT25	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00109	RT26	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00110	RT27	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00111	RT28	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00112	RT29	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00113	RT30	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00114	RT31	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00115	RT32	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	Zero	bourceret_2016_002	NS	09_2016
bourceret_2016_00116	RT33	Reconstruct_pilot_2016	zea_mays_l	B73.K	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00117	RT34	Reconstruct_pilot_2016	zea_mays_l	DK105	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00118	RT35	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00119	RT36	Reconstruct_pilot_2016	zea_mays_l	EP1	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00120	RT37	Reconstruct_pilot_2016	zea_mays_l	F353	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00121	RT38	Reconstruct_pilot_2016	zea_mays_l	UH007	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00122	RT39	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00123	RT40	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00124	RT41	Reconstruct_pilot_2016	zea_mays_l	EP1	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00125	RT42	Reconstruct_pilot_2016	zea_mays_l	PH207	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00126	RT43	Reconstruct_pilot_2016	zea_mays_l	B73.M	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00127	RT44	Reconstruct_pilot_2016	zea_mays_l	F353	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00128	RT45	Reconstruct_pilot_2016	zea_mays_l	UH007	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00129	RT46	Reconstruct_pilot_2016	zea_mays_l	B73.K	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00130	RT47	Reconstruct_pilot_2016	zea_mays_l	F2	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00131	RT48	Reconstruct_pilot_2016	zea_mays_l	DK105	root	DEMO	NPK	bourceret_2016_002	NS	09_2016
bourceret_2016_00132	529H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_003	NS	05_2017
bourceret_2016_00133	530H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_003	NS	05_2017
bourceret_2016_00134	531H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_003	NS	05_2017
bourceret_2016_00135	532H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_003	NS	05_2017
bourceret_2016_00136	533H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_003	NS	05_2017
bourceret_2016_00137	534H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NPK	bourceret_2016_003	NS	05_2017
bourceret_2016_00138	535H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_003	NS	05_2017
bourceret_2016_00139	536H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_003	NS	05_2017
bourceret_2016_00140	537H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_003	NS	05_2017
bourceret_2016_00141	538H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_003	NS	05_2017
bourceret_2016_00142	539H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_003	NS	05_2017
bourceret_2016_00143	540H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DEMO	NK	bourceret_2016_003	NS	05_2017
bourceret_2016_00144	541H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00145	542H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00146	543H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00147	544H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00148	545H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00149	546H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00150	547H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00151	548H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00152	549H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00153	550H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00154	551H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00155	552H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00156	553H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00157	554H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00158	555H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00159	556H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00160	557H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00161	558H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00162	559H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00163	560H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00164	561H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00165	562H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00166	563H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00167	564H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	CONMIN	bourceret_2016_003	NS	05_2017
bourceret_2016_00168	565H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00169	566H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00170	567H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00171	568H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00172	569H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00173	570H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00174	571H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00175	572H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00176	573H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00177	574H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
bourceret_2016_00178	575H	Reconstruct_BK2017	zea_mays_l	host_soil	soil	DOK	BIODYN	bourceret_2016_003	NS	05_2017
