id	Degree	Closeness	Betweenness	Kingdom	Phylum	Class	Order	Family	Genus	RA	Occupancy	ID	Exemplar	Cluster	Cluster_size
ASV_1001	559	0.00178890876565295	145.887998663714	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0	0	ASV_1001	ASV_88	Cluster_20	52
ASV_1003	277	0.00118906064209275	0.134715142810666	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	NA	NA	0.000787015985169121	0.0176991150442478	ASV_1003	ASV_537	Cluster_56	49
ASV_1004	285	0.00120048019207683	0.41506939787927	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	NA	0.00041143405676087	0.0265486725663717	ASV_1004	ASV_856	Cluster_67	35
ASV_1012	297	0.00121802679658952	1.08105893894372	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	NA	0.00776438787271751	0.185840707964602	ASV_1012	ASV_537	Cluster_56	49
ASV_1015	281	0.001194743130227	0.161879330837607	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Ilumatobacter	0.000252844500632111	0.00884955752212389	ASV_1015	ASV_111	Cluster_25	53
ASV_1018	559	0.00178890876565295	145.887998663714	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	0	0	ASV_1018	ASV_191	Cluster_30	34
ASV_1021	559	0.00178890876565295	145.887998663714	Bacteria	Chloroflexi	TK10	NA	NA	NA	0	0	ASV_1021	ASV_1819	Cluster_95	11
ASV_1024	293	0.00121212121212121	1.08838239484391	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Aliihoeflea	0.00438830041435691	0.168141592920354	ASV_1024	ASV_2072	Cluster_101	52
ASV_1026	276	0.00118764845605701	0.092467980113232	Bacteria	Desulfobacterota	NA	NA	NA	NA	0.000340367597004765	0.00884955752212389	ASV_1026	ASV_88	Cluster_20	52
ASV_1027	288	0.00120481927710843	0.668590943579339	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	NA	0.000122187965477964	0.0176991150442478	ASV_1027	ASV_537	Cluster_56	49
