Sample_ID	RA_rep	Original.SampleID	Study	Host.Species	Host.Genotype	Compartment	Soil	Soil.Batch	Run	Conditions	Date	Group
bgh_2017_00001	0.888590604026846	bgh_001_NC_1	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00002	0.775084175084175	bgh_001_NC_2	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00003	0.838731443994602	bgh_001_NC_3	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00004	0.773279352226721	bgh_001_NC_4	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00005	0.893888515782404	bgh_001_NC_5	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00006	0.710154673839946	bgh_001_NC_6	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00007	0.925553319919517	bgh_001_NC_7	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00008	0.817508417508418	bgh_001_NC_8	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00009	0.90719569603228	bgh_001_NC_9	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00010	0.773469387755102	bgh_001_NC_10	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00011	0.828187919463087	bgh_001_NC_11	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00012	0.705363204344874	bgh_001_NC_12	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00013	0.594594594594595	bgh_001_NC_13	bgh_2017	arabidopsis_thaliana	host_soil	soil	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_soil
bgh_2017_00014	0.570748299319728	bgh_001_NC_14	bgh_2017	arabidopsis_thaliana	host_soil	soil	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_soil
bgh_2017_00015	0.892018779342723	bgh_001_NC_15	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00016	0.768292682926829	bgh_001_NC_16	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00017	0.902225219150371	bgh_001_NC_17	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00018	0.755047106325707	bgh_001_NC_18	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00019	0.823529411764706	bgh_001_NC_19	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00020	0.714285714285714	bgh_001_NC_20	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00021	0.861372812920592	bgh_001_NC_21	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00022	0.75289312457454	bgh_001_NC_22	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00023	0.867696440564137	bgh_001_NC_23	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
bgh_2017_00024	0.676190476190476	bgh_001_NC_24	bgh_2017	arabidopsis_thaliana	col_0	rhizosphere	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_rhizosphere
bgh_2017_00025	0.840589417280643	bgh_001_NC_25	bgh_2017	arabidopsis_thaliana	col_0	root	CAS	CAS12	bgh_2017_001	GH	09_2017	arabidopsis_thaliana_CAS_root
