Group	Occupancy	Sample_number	RA	Group.1	Compartment	Rank	Tax_number
1	0.825581395348837	86	0.00300664661238472	soil	soil	NetCls	130
10	0.883720930232558	86	0.00330315566197281	soil	soil	NetCls	130
100	0.0232558139534884	86	3.9729106208622e-05	soil	soil	NetCls	130
101	0.674418604651163	86	0.00177109685178788	soil	soil	NetCls	130
102	0.0232558139534884	86	2.41134483849742e-05	soil	soil	NetCls	130
103	0.0232558139534884	86	3.23210841034562e-05	soil	soil	NetCls	130
104	0.395348837209302	86	0.000418189668133937	soil	soil	NetCls	130
105	0.13953488372093	86	0.000145456125471876	soil	soil	NetCls	130
106	0.0465116279069767	86	6.6968574031904e-05	soil	soil	NetCls	130
107	0.127906976744186	86	0.00012073832215651	soil	soil	NetCls	130
108	0.209302325581395	86	0.000259905559773686	soil	soil	NetCls	130
11	0.825581395348837	86	0.00370488362384101	soil	soil	NetCls	130
110	0.662790697674419	86	0.00180093155517558	soil	soil	NetCls	130
111	0.0348837209302326	86	3.19815705005273e-05	soil	soil	NetCls	130
112	0.0813953488372093	86	8.12857920743103e-05	soil	soil	NetCls	130
113	0.36046511627907	86	0.000557038919398949	soil	soil	NetCls	130
114	0.0813953488372093	86	8.09102498826985e-05	soil	soil	NetCls	130
115	0.465116279069767	86	0.000949245729550083	soil	soil	NetCls	130
116	0.174418604651163	86	0.000220129681167484	soil	soil	NetCls	130
117	0.604651162790698	86	0.00149269434385901	soil	soil	NetCls	130
118	0.174418604651163	86	0.000259707234687042	soil	soil	NetCls	130
119	0.337209302325581	86	0.000529217919406142	soil	soil	NetCls	130
12	0.674418604651163	86	0.00135592578497307	soil	soil	NetCls	130
120	0.0581395348837209	86	4.85687024908168e-05	soil	soil	NetCls	130
121	0.732558139534884	86	0.0022272266977708	soil	soil	NetCls	130
122	0.13953488372093	86	0.000105136953504014	soil	soil	NetCls	130
123	0.209302325581395	86	0.000319347706890451	soil	soil	NetCls	130
124	0.197674418604651	86	0.000171098103448023	soil	soil	NetCls	130
125	0.267441860465116	86	0.000296217374213703	soil	soil	NetCls	130
126	0.0813953488372093	86	8.39493662960471e-05	soil	soil	NetCls	130
127	0.162790697674419	86	0.000367245055354066	soil	soil	NetCls	130
128	0.36046511627907	86	0.000635909968484974	soil	soil	NetCls	130
129	0.0116279069767442	86	8.04142944449805e-06	soil	soil	NetCls	130
13	0.348837209302326	86	0.000737718113687652	soil	soil	NetCls	130
130	0.395348837209302	86	0.000888054787276791	soil	soil	NetCls	130
